구별,총계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
종로구,1715,22.22222222222222,153684,144275,9409,28064,6.122302907264256,18.26084693266703
중구,2447,4.929032258064516,131450,122173,9277,24742,7.057436287561811,18.82236591860023
용산구,2611,2.752442996742671,236518,222169,14349,39461,6.06676870259346,16.684142433134053
성동구,3829,1.5408163265306123,291609,285073,6536,46896,2.241357434098399,16.081808174644816
광진구,3211,1.1657303370786516,353110,340707,12403,52604,3.512503185976042,14.897340771997394
동대문구,2628,2.0275229357798166,352592,337982,14610,62963,4.143599401007396,17.857183373417435
중랑구,3737,1.317445185891325,393600,389043,4557,72851,1.1577743902439024,18.508892276422763
성북구,4602,0.9201680672268907,442680,433150,9530,75719,2.1527966025119727,17.104680581910184
강북구,3090,1.044526901669759,300824,297384,3440,64961,1.1435257825173524,21.594354173869107
도봉구,1930,3.7,318100,316098,2002,65122,0.6293618359006601,20.472178560201197
노원구,2492,1.9,514445,510486,3959,89426,0.7695672034911409,17.38300498595574
은평구,4131,0.718070009460738,476013,472259,3754,88418,0.7886339238634238,18.574702791730477
서대문구,3055,1.4956268221574345,317075,305866,11209,55012,3.5351257588898526,17.349838366317115
마포구,2496,0.8238866396761133,378629,368331,10298,55168,2.7198127982801106,14.570463435183253
양천구,3650,2.298076923076923,449378,446182,3196,69953,0.7112052659453734,15.566627649773688
강서구,2744,1.4726477024070022,578426,573046,5380,93924,0.9301103339061522,16.237859294015138
구로구,4608,2.184331797235023,419984,396017,23967,73864,5.706645967465427,17.58733666044421
금천구,2411,1.5286103542234333,244901,231098,13803,41819,5.636155017741864,17.075879641161123
영등포구,4056,23.015384615384615,400241,376740,23501,63547,5.87171229334326,15.877183996642023
동작구,2306,1.3633540372670807,394649,386017,8632,67470,2.187260071607935,17.09620447536925
관악구,5149,0.9529411764705882,500336,486375,13961,80686,2.7903249016660805,16.126363084007547
서초구,4082,2.9174041297935105,413677,409823,3854,61404,0.9316447373192128,14.843464828839892
강남구,6871,1.823008849557522,537338,532577,4761,79575,0.8860344885342187,14.809114561039793
송파구,2897,0.35228331780055916,668261,662607,5654,99854,0.8460766077924644,14.9423653333054
강동구,2809,2.460674157303371,465097,461300,3797,75477,0.8163888393173897,16.22822766003651
